,Código do componente,Nome do componente,Link do componente,Docente,Horário,Local da aula,Carga horária,Tamanho da turma
2008,ENE0048,LABORATÓRIO DE CONVERSÃO ELETROMECÂNICA DE ENERGIA,,ANESIO DE LELES FERREIRA FILHO,Terça-feira 14:00 às 15:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2009,ENE0048,LABORATÓRIO DE CONVERSÃO ELETROMECÂNICA DE ENERGIA,,ANESIO DE LELES FERREIRA FILHO,Terça-feira 16:00 às 17:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2010,ENE0049,MATERIAIS ELÉTRICOS E MAGNÉTICOS,,ARTEMIS MARTI CESCHIN,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50  , FT BT-43/15,60h,50
2011,ENE0050,LABORATÓRIO DE MATERIAIS ELÉTRICOS E MAGNÉTICOS,,ARTEMIS MARTI CESCHIN,Quarta-feira 16:00 às 17:50  , SG-11 A1-29/15 (Lab. de Materiais),30h,16
2012,ENE0050,LABORATÓRIO DE MATERIAIS ELÉTRICOS E MAGNÉTICOS,,ARTEMIS MARTI CESCHIN,Sexta-feira 10:00 às 11:50  , SG-11 A1-29/15 (Lab. de Materiais),30h,16
2013,ENE0053,ELETROMAGNETISMO 2,,JOAO PAULO LEITE,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , FT BT-52/15,60h,50
2014,ENE0054,LABORATÓRIO DE ELETROMAGNETISMO 2,,LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES,Segunda-feira 14:00 às 15:50  , SG-11 A1-34/15 (Lab. de Eletromagnetismo),30h,10
2015,ENE0054,LABORATÓRIO DE ELETROMAGNETISMO 2,,LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES,Segunda-feira 16:00 às 17:50  , SG-11 A1-34/15 (Lab. de Eletromagnetismo),30h,10
2016,ENE0054,LABORATÓRIO DE ELETROMAGNETISMO 2,,LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES,Sexta-feira 08:00 às 09:50  , SG-11 A1-34/15 (Lab. de Eletromagnetismo),30h,10
2017,ENE0054,LABORATÓRIO DE ELETROMAGNETISMO 2,,LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES,Sexta-feira 10:00 às 11:50  , SG-11 A1-34/15 (Lab. de Eletromagnetismo),30h,10
2018,ENE0056,SISTEMAS MICROPROCESSADOS,,RICARDO ZELENOVSKY,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50  , FT BT-13/15 (Auditório),60h,60
2019,ENE0056,SISTEMAS MICROPROCESSADOS,,DANIEL CHAVES CAFE,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50  , FT BT-13/15 (Auditório),60h,65
2020,ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,,RICARDO ZELENOVSKY,Segunda-feira 16:00 às 17:50  , ULEG FT - Lab. de Técnicas Digitais,30h,24
2021,ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,,DANIEL CHAVES CAFE,Terça-feira 08:00 às 09:50  , ULEG FT - Lab. de Técnicas Digitais,30h,24
2022,ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,,RICARDO ZELENOVSKY,Terça-feira 14:00 às 15:50  , ULEG FT - Lab. de Técnicas Digitais,30h,24
2023,ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,,RICARDO ZELENOVSKY,Quarta-feira 10:00 às 11:50  , ULEG FT - Lab. de Técnicas Digitais,30h,24
2024,ENE0058,LABORATÓRIO DE SISTEMAS MICROPROCESSADOS,,DANIEL CHAVES CAFE,Quinta-feira 08:00 às 09:50  , ULEG FT - Lab. de Técnicas Digitais,30h,24
2025,ENE0064,REDES SEM FIO,,PAULO ROBERTO DE LIRA GONDIM,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50  , FT BT-34/15,60h,30
2026,ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,,HUMBERTO ABDALLA JUNIOR,Sexta-feira 08:00 às 09:50  , FT BT-13/15 (Auditório),30h,40
2027,ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,,MARCELO LOPES PEREIRA JUNIOR,Sexta-feira 10:00 às 11:50  , SG-11 A1-57/12 (Auditório),30h,40
2028,ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,,HUMBERTO ABDALLA JUNIOR,Sexta-feira 10:00 às 11:50  , FT BT-13/15 (Auditório),30h,40
2029,ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,,MARCELO LOPES PEREIRA JUNIOR,Segunda-feira 14:00 às 15:50  , FT BT-43/15,30h,40
2030,ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,,DANIEL ORQUIZA DE CARVALHO,Segunda-feira 16:00 às 17:50  , FT BT-43/15,30h,40
2031,ENE0067,SINAIS E SISTEMAS EM TEMPO CONTÍNUO,,JOAO LUIZ AZEVEDO DE CARVALHO,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50  , SG-11 A1-57/12 (Auditório),60h,60
2032,ENE0067,SINAIS E SISTEMAS EM TEMPO CONTÍNUO,,LELIO RIBEIRO SOARES JUNIOR,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  , FT BT-13/15 (Auditório),60h,60
2033,ENE0067,SINAIS E SISTEMAS EM TEMPO CONTÍNUO,,FLAVIA MARIA GUERRA DE SOUSA ARANHA OLIVEIRA,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , FT BT-25/15,60h,50
2034,ENE0068,SINAIS E SISTEMAS EM TEMPO DISCRETO,,RENATO ALVES BORGES,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50  , FT BT-25/15,60h,50
2035,ENE0068,SINAIS E SISTEMAS EM TEMPO DISCRETO,,EDUARDO PEIXOTO FERNANDES DA SILVA,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  , SG-11 A1-57/12 (Auditório),60h,60
2036,ENE0068,SINAIS E SISTEMAS EM TEMPO DISCRETO,,FRANCISCO ASSIS DE OLIVEIRA NASCIMENTO,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50  , SG-11 A1-57/12 (Auditório),60h,60
2037,ENE0071,INSTALAÇÕES ELÉTRICAS,,FRANCIS ARODY MORENO VASQUEZ,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50  , FT BT-34/15,60h,25
2038,ENE0071,INSTALAÇÕES ELÉTRICAS,,FERNANDO CARDOSO MELO,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  , SG-11 A1-28/11,60h,25
2039,ENE0072,LABORATÓRIO DE INSTALAÇÕES ELÉTRICAS,,AMAURI GUTIERREZ MARTINS BRITTO,Terça-feira 08:00 às 09:50  , ULEG LCCC,30h,25
2040,ENE0072,LABORATÓRIO DE INSTALAÇÕES ELÉTRICAS,,AMAURI GUTIERREZ MARTINS BRITTO,Quinta-feira 08:00 às 09:50  , ULEG LCCC,30h,25
2041,ENE0073,LABORATÓRIO DE SISTEMAS ELÉTRICOS DE POTÊNCIA,,FRANCIS ARODY MORENO VASQUEZ,Segunda-feira 08:00 às 09:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2042,ENE0073,LABORATÓRIO DE SISTEMAS ELÉTRICOS DE POTÊNCIA,,PABLO EDUARDO CUERVO FRANCO,Terça-feira 08:00 às 09:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2043,ENE0073,LABORATÓRIO DE SISTEMAS ELÉTRICOS DE POTÊNCIA,,FRANCIS ARODY MORENO VASQUEZ,Quarta-feira 08:00 às 09:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2044,ENE0073,LABORATÓRIO DE SISTEMAS ELÉTRICOS DE POTÊNCIA,,PABLO EDUARDO CUERVO FRANCO,Quinta-feira 08:00 às 09:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2045,ENE0073,LABORATÓRIO DE SISTEMAS ELÉTRICOS DE POTÊNCIA,,ANESIO DE LELES FERREIRA FILHO,Quinta-feira 14:00 às 15:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2046,ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,,GERSON HENRIQUE PFITSCHER,Segunda-feira 16:00 às 17:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2047,ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,,GERSON HENRIQUE PFITSCHER,Quarta-feira 16:00 às 17:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2048,ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,,GERSON HENRIQUE PFITSCHER,Quinta-feira 16:00 às 17:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2049,ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,,GERSON HENRIQUE PFITSCHER,Sexta-feira 08:00 às 09:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2050,ENE0074,LABORATÓRIO DE CONVERSÃO DE ENERGIA,,ANESIO DE LELES FERREIRA FILHO,Sexta-feira 10:00 às 11:50  , SG-11 AT-47/14 (Lab. de Conversão de Energia),30h,8
2051,ENE0077,CONTROLE DE SISTEMAS DINÂMICOS,,JOAO YOSHIYUKI ISHIHARA,Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50  , FT BT-25/15,60h,40
2052,ENE0077,CONTROLE DE SISTEMAS DINÂMICOS,,HENRIQUE CEZAR FERREIRA,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , FT BT-34/15,60h,40
2053,ENE0077,CONTROLE DE SISTEMAS DINÂMICOS,,RENATO ALVES BORGES,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  , FT BT-43/15,60h,40
2054,ENE0078,LABORATÓRIO DE CONTROLE DE SISTEMAS DINÂMICOS,,MARCO ANTONIO FREITAS DO EGITO COELHO,Segunda-feira 08:00 às 09:50  , SG-11 A1-24/11 (Lab. de Controle),30h,18
2055,ENE0078,LABORATÓRIO DE CONTROLE DE SISTEMAS DINÂMICOS,,MARCO ANTONIO FREITAS DO EGITO COELHO,Segunda-feira 10:00 às 11:50  , SG-11 A1-24/11 (Lab. de Controle),30h,18
2056,ENE0078,LABORATÓRIO DE CONTROLE DE SISTEMAS DINÂMICOS,,MARCO ANTONIO FREITAS DO EGITO COELHO,Terça-feira 14:00 às 15:50  , SG-11 A1-24/11 (Lab. de Controle),30h,18
2057,ENE0078,LABORATÓRIO DE CONTROLE DE SISTEMAS DINÂMICOS,,MARCO ANTONIO FREITAS DO EGITO COELHO,Terça-feira 16:00 às 17:50  , SG-11 A1-24/11 (Lab. de Controle),30h,18
2058,ENE0079,CONTROLE NO ESPAÇO DE ESTADOS,,JOAO YOSHIYUKI ISHIHARA,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50  , FT BT-34/15,60h,50
2059,ENE0088,SISTEMAS DE INFORMAÇÃO DISTRIBUÍDOS,,RICARDO STACIARINI PUTTINI,Segunda-feira 18:00 às 19:50Quarta-feira 18:00 às 19:50  , FT A1-24/25 (LabRedes),60h,30
2060,ENE0090,SEGURANÇA DE REDES,,RAFAEL TIMOTEO DE SOUSA JUNIOR,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50  , FT BT-16/15,60h,30
2061,ENE0091,SISTEMAS OPERACIONAIS DE REDES,,DANIEL GUERREIRO E SILVA,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50  , FT A1-24/25 (LabRedes),60h,30
2062,ENE0155,INTRODUCAO A ENGENHARIA ELETRICA,,EDUARDO PEIXOTO FERNANDES DA SILVA,Quinta-feira 08:00 às 09:50  , FT BT-16/15,30h,50
2063,ENE0167,CONTROLE DIGITAL,,HENRIQUE CEZAR FERREIRA,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50  , FT BT-34/15,60h,40
2064,ENE0177,ELETROMAGNETISMO 1,,ADONIRAN JUDSON DE BARROS BRAGA,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50  , FT BT-52/15,60h,50
2065,ENE0177,ELETROMAGNETISMO 1,,JOAO PAULO LEITE,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50  , FT BT-52/15,60h,50
2066,ENE0186,CONVERSÃO DE ENERGIA E MÁQUINAS ELÉTRICAS,,IVAN MARQUES DE TOLEDO CAMARGO,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50  , FT BT-25/15,60h,40
2067,ENE0202,SISTEMAS DE COMUNICACOES 1,,MARCO ANTONIO BRASIL TERADA,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50  , FT BT-34/15,60h,50
2068,ENE0240,CONTROLE PARA AUTOMAÇÃO,,JOSE ONIRAM DE AQUINO LIMAVERDE FILHO,Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50  , SG-11 A1-39/12,60h,20
2069,ENE0251,TRANSMISSAO DE ENERGIA ELETRICA,,PABLO EDUARDO CUERVO FRANCO,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50  , SG-11 A1-28/11,60h,40
2070,ENE0265,TOPICOS ESPECIAIS EM TELECOMUNICACOES,,MARCO ANTONIO BRASIL TERADA,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50  , FT BT-16/15,60h,40
2071,ENE0274,FUNDAMENTOS DE REDES,,JAYME MILANEZI JUNIOR,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50  , FT BT-16/15,60h,40
2072,ENE0276,METODOLOGIA E DESENVOLVIMENTO DE SOFTWARE,,RICARDO STACIARINI PUTTINI,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50  , FT A1-24/25 (LabRedes),60h,30
2073,ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,,ADSON FERREIRA DA ROCHA,Segunda-feira 14:00 às 15:50  , ULEG FT - Lab. de Circuitos Elétricos,30h,20
2074,ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,,ADSON FERREIRA DA ROCHA,Segunda-feira 16:00 às 17:50  , ULEG FT - Lab. de Circuitos Elétricos,30h,20
2075,ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,,DANIEL ORQUIZA DE CARVALHO,Terça-feira 08:00 às 09:50  , ULEG FT - Lab. de Circuitos Elétricos,30h,20
2076,ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,,JOSE ONIRAM DE AQUINO LIMAVERDE FILHO,Terça-feira 18:00 às 19:50  , ULEG FT - Lab. de Circuitos Elétricos,30h,20
2077,ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,,JOSE ONIRAM DE AQUINO LIMAVERDE FILHO,Quinta-feira 08:00 às 09:50  , ULEG FT - Lab. de Circuitos Elétricos,30h,20
2078,ENE0282,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,,JOSE ALFREDO RUIZ VARGAS,Quinta-feira 16:00 às 17:50  , ULEG FT - Lab. de Circuitos Elétricos,30h,20
2079,ENE0289,CIRCUITOS POLIFASICOS,,KLEBER MELO E SILVA,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  , FT BT-16/15,60h,40
2080,ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,,LEONARDO AGUAYO,Segunda-feira 08:00 às 09:50  , SG-11 A1-09/12 (Lab. de Princípios de Comunicação),30h,12
2081,ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,,LEONARDO AGUAYO,Segunda-feira 10:00 às 11:50  , SG-11 A1-09/12 (Lab. de Princípios de Comunicação),30h,12
2082,ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,,ADONIRAN JUDSON DE BARROS BRAGA,Segunda-feira 14:00 às 15:50  , SG-11 A1-09/12 (Lab. de Princípios de Comunicação),30h,12
2083,ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,,ADONIRAN JUDSON DE BARROS BRAGA,Segunda-feira 16:00 às 17:50  , SG-11 A1-09/12 (Lab. de Princípios de Comunicação),30h,12
2084,ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,,HUGERLES SALES SILVA,Terça-feira 08:00 às 09:50  , SG-11 A1-09/12 (Lab. de Princípios de Comunicação),30h,12
2085,ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,,HUGERLES SALES SILVA,Terça-feira 10:00 às 11:50  , SG-11 A1-09/12 (Lab. de Princípios de Comunicação),30h,12
2086,ENE0304,CIRCUITOS ELÉTRICOS,,ALEX DA ROSA,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  , FT BT-25/15,60h,50
2087,ENE0304,CIRCUITOS ELÉTRICOS,,HUMBERTO ABDALLA JUNIOR,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , FT BT-13/15 (Auditório),60h,50
2088,ENE0304,CIRCUITOS ELÉTRICOS,,JOSE CAMARGO DA COSTA,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , SG-11 A1-39/12,60h,20
2089,ENE0304,CIRCUITOS ELÉTRICOS,,ALEX DA ROSA,Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50  , FT BT-52/15,60h,50
2090,ENE0306,PRINCÍPIOS DE COMUNICAÇÃO,,PAULO HENRIQUE PORTELA DE CARVALHO,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50  , FT BT-43/15,60h,50
2091,ENE0306,PRINCÍPIOS DE COMUNICAÇÃO,,LEONARDO AGUAYO,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50  , FT BT-43/15,60h,50
2092,ENE0332,TOPICOS EM ENGENHARIA,,PAULO HENRIQUE PORTELA DE CARVALHO,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , FT BT-43/15,60h,40
2093,ENE0332,TOPICOS EM ENGENHARIA,,RAFAEL AMARAL SHAYANI,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50  , FT BT-52/15,60h,40
2094,ENE0334,COMPUTACAO PARA ENGENHARIA,,LUCIANO MAURO ARLEY SUP,Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50  , LCCC 1 - ULEG,60h,40
2095,ENE0334,COMPUTACAO PARA ENGENHARIA,,VINICIUS PEREIRA GONCALVES,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50  , LCCC 3 - ULEG,60h,20
2096,ENE0344,COMUNICAÇÕES MÓVEIS,,HUGERLES SALES SILVA,Terça-feira 14:00 às 17:50  , SG-11 A1-28/11,60h,30
2097,ENE0347,TÓPICOS EM REDES DE COMUNICAÇÃO 1,,FLAVIO ELIAS GOMES DE DEUS,Quinta-feira 14:00 às 17:50  , FT A1-24/25 (LabRedes),60h,30
2098,ENE0352,REDES LOCAIS,,WILLIAM FERREIRA GIOZZA,Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50  , FT BT-16/15,60h,30
2099,ENE0355,INSTRUMENTAÇÃO ELETRÔNICA E SENSORES,,GEOVANY ARAUJO BORGES,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  , FT BT-52/15,60h,40
2100,EFL0001,MANEJO DE VEGETAÇÃO NATIVA,,RICARDO DE OLIVEIRA GASPAR,Terça-feira 14:00 às 17:50  , FT ET-70/14 LCC - Sala 4,60h,20
2101,EFL0002,SISTEMAS AGROFLORESTAIS,,MAURO ELOI NAPPO,Segunda-feira 08:00 às 11:50  , EFL - SALA A3 - 1º ANDAR,60h,10
2102,EFL0002,SISTEMAS AGROFLORESTAIS,,MAURO ELOI NAPPO,Sexta-feira 14:00 às 17:50  , EFL - SALA A3 - 1º ANDAR,60h,10
2103,EFL0003,PLANEJAMENTO DE INVENTÁRIO FLORESTAL,,EDER PEREIRA MIGUEL,Terça-feira 14:00 às 17:50  , EFL - SALA A3 - 1º ANDAR,60h,10
2104,EFL0004,ECOLOGIA FLORESTAL,,JOSE ROBERTO RODRIGUES PINTO,Terça-feira 08:00 às 11:50  , EFL - SALA A4 - 2º ANDAR,60h,20
2105,EFL0004,ECOLOGIA FLORESTAL,,JOSE ROBERTO RODRIGUES PINTO,Quarta-feira 14:00 às 17:50  , EFL - SALA A4 - 2º ANDAR,60h,20
2106,EFL0010,INICIACAO A ENGENHARIA FLORESTAL,,ALEXANDRE FLORIAN DA COSTA,Quarta-feira 08:55 às 09:50  , EFL - SALA A4 - 2º ANDAR,15h,60
2107,EFL0011,GENETICA E MELHORAMENTO FLORESTAL,,ILDEU SOARES MARTINS,Quarta-feira 08:00 às 11:50Quinta-feira 16:00 às 17:50  , EFL 4ª E 5ª - Sala A1 1º ANDAR,90h,40
2108,EFL0013,COLHEITA E TRANSPORTE FLORESTAL,,REGINALDO SERGIO PEREIRA,Sexta-feira 14:00 às 17:50  , EFL - SALA A5 - 2º ANDAR,60h,40
2109,EFL0014,INCENDIOS FLORESTAIS,,ERALDO APARECIDO TRONDOLI MATRICARDI,Segunda-feira 16:00 às 17:50  , EFL - SALA A4 - 2º ANDAR,30h,40
2110,EFL0020,ESTRUTURAS DE MADEIRAS,,CLAUDIO HENRIQUE SOARES DEL MENEZZI,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50  , EFL - SALA A5 - 2º ANDAR,60h,40
2111,EFL0021,SEMENTES E VIVEIROS FLORESTAIS,,ROSANA DE CARVALHO CRISTO MARTINS,Terça-feira 14:00 às 17:50  , EFL - SALA A1 - 1º ANDAR,30h,40
2112,EFL0021,SEMENTES E VIVEIROS FLORESTAIS,,ANDERSON MARCOS DE SOUZA,Terça-feira 14:00 às 17:50  , EFL - SALA A1 - 1º ANDAR,30h,40
2113,EFL0023,MANEJO DE BACIAS HIDROGRAFICAS,,HENRIQUE MARINHO LEITE CHAVES,Segunda-feira 14:00 às 15:50Quinta-feira 14:00 às 17:50  , EFL - SALA A4 - 2º ANDAR,90h,40
2114,EFL0025,MANEJO DE FAUNA,,REUBER ALBUQUERQUE BRANDAO,Sexta-feira 08:00 às 11:50  , EFL - SALA A4 - 2º ANDAR,60h,40
2115,EFL0026,SECAGEM E PRESERVACAO DE MADEIRAS,,ALEXANDRE FLORIAN DA COSTA,Segunda-feira 14:00 às 15:50Quinta-feira 10:00 às 11:50  , EFL - SALA A1 - 1º ANDAR,60h,40
2116,EFL0029,DASONOMIA,,ROSANA DE CARVALHO CRISTO MARTINS,Segunda-feira 08:00 às 11:50  , EFL - SALA A1 - 1º ANDAR,30h,40
2117,EFL0029,DASONOMIA,,ANDERSON MARCOS DE SOUZA,Segunda-feira 08:00 às 11:50  , EFL - SALA A1 - 1º ANDAR,30h,40
2118,EFL0029,DASONOMIA,,ANDERSON MARCOS DE SOUZA,Sexta-feira 08:00 às 11:50  , EFL - SALA A1 - 1º ANDAR,30h,40
2119,EFL0029,DASONOMIA,,ROSANA DE CARVALHO CRISTO MARTINS,Sexta-feira 08:00 às 11:50  , EFL - SALA A1 - 1º ANDAR,30h,40
2120,EFL0029,DASONOMIA,,MAURO ELOI NAPPO,Sexta-feira 08:00 às 11:50  , EFL - SALA A3 - 1º ANDAR,60h,10
2121,EFL0030,CELULOSE E PAPEL,,JOAQUIM CARLOS GONCALEZ,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50  , EFL - Sala A2 1º ANDAR,60h,20
2122,EFL0033,DENDROMETRIA,,RICARDO DE OLIVEIRA GASPAR,Terça-feira 08:00 às 11:50  , FT ET-70/14 LCC - Sala 1,60h,40
2123,EFL0034,ECONOMIA FLORESTAL,,ALVARO NOGUEIRA DE SOUZA,Terça-feira 14:00 às 17:50  , EFL - SALA A4 - 2º ANDAR,60h,50
2124,EFL0036,POLITICA FLORESTAL,,LEONARDO JOB BIALI,Sexta-feira 08:00 às 11:50  , EFL - SALA A5 - 2º ANDAR,60h,50
2125,EFL0040,DENDROLOGIA,,DANIEL COSTA DE CARVALHO,Terça-feira 08:00 às 11:50  , EFL - Sala A1 1º ANDAR,60h,35
2126,EFL0040,DENDROLOGIA,,DANIEL COSTA DE CARVALHO,Quarta-feira 08:00 às 11:50  , EFL - Sala A3 1º ANDAR,60h,15
2127,EFL0043,PLANEJAMENTO E GERENCIA FLORESTAL,,LEONARDO JOB BIALI,Quinta-feira 08:00 às 11:50  , EFL - SALA A5 - 2º ANDAR,60h,50
2128,EFL0044,TECNOLOGIA DE PRODUTOS FLORESTAIS,,JOAQUIM CARLOS GONCALEZ,Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50  , EFL - SALA A2 - 1º ANDAR,60h,40
2129,EFL0047,MANEJO E ADMINISTRACAO DE AREAS SILVESTRES,,REUBER ALBUQUERQUE BRANDAO,Sexta-feira 14:00 às 17:50  , EFL - SALA A4 - 2º ANDAR,60h,40
2130,EFL0049,TECNOLOGIA DA MADEIRA,,AILTON TEIXEIRA DO VALE,Quarta-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , EFL - SALA A5 - 2º ANDAR,60h,40
2131,EFL0050,INVENTARIO FLORESTAL,,ALBA VALERIA REZENDE,Terça-feira 08:00 às 11:50  , FT ET-70/14 LCC,60h,40
2132,EFL0051,METODOLOGIA DE PESQUISAS FLORESTAIS,,ALBA VALERIA REZENDE,Segunda-feira 14:00 às 17:50  , FT ET-70/14 LCC,60h,40
2133,EFL0055,MANEJO FLORESTAL,,EDER PEREIRA MIGUEL,Quinta-feira 08:00 às 11:50  , FT ET-70/14 LCC,60h,40
2134,EFL0057,ARBORIZACAO E PAISAGISMO,,PAULO ERNANE NOGUEIRA DA SILVA,Segunda-feira 14:00 às 17:50  , EFL - Sala A3 1º ANDAR,60h,10
2135,EFL0063,PROJETO PARA TRABALHO FINAL,,LEONARDO JOB BIALI,Sábado 08:00 às 11:50  , Local à definir.,60h,5
2136,EFL0063,PROJETO PARA TRABALHO FINAL,,RICARDO DE OLIVEIRA GASPAR,Sábado 08:00 às 11:50  , Local à definir.,60h,5
2137,EFL0063,PROJETO PARA TRABALHO FINAL,,ANDERSON MARCOS DE SOUZA,Sábado 14:00 às 17:50  , Local à definir.,60h,5
2138,EFL0063,PROJETO PARA TRABALHO FINAL,,JOSE ROBERTO RODRIGUES PINTO,Sábado 14:00 às 17:50  , Local à definir.,60h,5
2139,EFL0063,PROJETO PARA TRABALHO FINAL,,ALBA VALERIA REZENDE,Sábado 14:00 às 17:50  , Local à definir.,60h,5
2140,EFL0063,PROJETO PARA TRABALHO FINAL,,ALCIDES GATTO,Sábado 19:00 às 22:30  , Local à definir.,60h,5
2141,EFL0063,PROJETO PARA TRABALHO FINAL,,ERALDO APARECIDO TRONDOLI MATRICARDI,Sábado 12:00 às 15:50  , Local à definir.,60h,5
2142,EFL0063,PROJETO PARA TRABALHO FINAL,,JULIA SONSIN OLIVEIRA,Sábado 14:00 às 17:50  , Local à definir.,60h,5
2143,EFL0063,PROJETO PARA TRABALHO FINAL,,ROSANA DE CARVALHO CRISTO MARTINS,Sábado 14:00 às 17:50  , Local à definir.,60h,5
2144,EFL0065,COMERCIALIZAÇÃO DE PRODUTOS FLORESTAIS,,HUMBERTO ANGELO,Quarta-feira 14:00 às 17:50  , EFL - SALA A1 - 1º ANDAR,60h,25
